epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5628,1.82364,1.69809,1.27795,0.93683,0.78569,0.89016,0.50516,1.48645,1.17677,1.05356,0.000552339,0.000552339,0.000552339
2,105.293,1.39154,0.93621,1.02831,0.93363,0.83093,0.92657,0.57226,1.30761,0.89271,1.00681,0.00108607,0.00108607,0.00108607
3,157.759,1.29823,0.8109,0.9967,0.90067,0.79462,0.89306,0.51745,1.42593,0.9406,1.04349,0.00159779,0.00159779,0.00159779
4,208.879,1.21225,0.73044,0.96837,0.96218,0.91048,0.97369,0.63189,1.19985,0.67244,0.96634,0.00156798,0.00156798,0.00156798
5,260.599,1.1161,0.65992,0.94407,0.97542,0.93652,0.98505,0.7166,0.97031,0.58097,0.90423,0.00153497,0.00153497,0.00153497
6,323.948,1.03961,0.61093,0.92515,0.97299,0.92259,0.97958,0.71441,0.98733,0.56735,0.91175,0.00150197,0.00150197,0.00150197
7,376.395,0.98876,0.57527,0.90872,0.97441,0.94676,0.98732,0.7419,0.91792,0.52726,0.89194,0.00146896,0.00146896,0.00146896
8,428.437,0.92364,0.53357,0.89232,0.97838,0.94616,0.98607,0.75723,0.86207,0.50015,0.87605,0.00143595,0.00143595,0.00143595
9,480.757,0.90749,0.52039,0.89063,0.97669,0.96006,0.99059,0.77646,0.82934,0.46462,0.86705,0.00140295,0.00140295,0.00140295
10,535.559,0.86874,0.49257,0.8787,0.98167,0.95724,0.98685,0.78671,0.78949,0.43896,0.85892,0.00136994,0.00136994,0.00136994
11,588.366,0.81652,0.47105,0.86846,0.98534,0.96333,0.99153,0.79492,0.78243,0.44122,0.85591,0.00133693,0.00133693,0.00133693
12,639.888,0.8171,0.46747,0.86916,0.98405,0.96719,0.9922,0.825,0.69731,0.40422,0.83851,0.00130393,0.00130393,0.00130393
13,691.641,0.78452,0.4526,0.86256,0.98471,0.97459,0.99324,0.82706,0.69846,0.39531,0.83903,0.00127092,0.00127092,0.00127092
14,753.118,0.76186,0.43604,0.85645,0.98275,0.97118,0.99251,0.8357,0.65073,0.39339,0.8279,0.00123791,0.00123791,0.00123791
15,804.876,0.74075,0.42443,0.85144,0.98821,0.97645,0.9933,0.86002,0.60122,0.35723,0.82061,0.00120491,0.00120491,0.00120491
16,857.347,0.71064,0.416,0.84646,0.98304,0.97237,0.99187,0.83557,0.66592,0.38547,0.83175,0.0011719,0.0011719,0.0011719
17,909.297,0.71441,0.41319,0.84657,0.99106,0.98148,0.99374,0.86237,0.58468,0.3462,0.81635,0.00113889,0.00113889,0.00113889
18,961.582,0.69457,0.40246,0.84175,0.98515,0.97725,0.99276,0.85179,0.61558,0.3569,0.82204,0.00110589,0.00110589,0.00110589
19,1016.87,0.68227,0.39338,0.84061,0.98993,0.98149,0.99378,0.87703,0.54837,0.32919,0.80948,0.00107288,0.00107288,0.00107288
